Source,created by,Type,Story ID,Question ID,Story,Question,Answer
Baron-Cohen et al. (1999),Experts,FauxPas,1f,1,"All of the class took part in a story competition. Emma really wanted to win. Whilst she was away from school, the results of the competition were announced: Alice was the winner. The next day, Alice saw Emma and said ""I'm sorry about your story."" ""What do you mean?"" said Emma. ""Oh nothing,"" said Alice.","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Baron-Cohen et al. (1999),Experts,FauxPas,1f,2,"All of the class took part in a story competition. Emma really wanted to win. Whilst she was away from school, the results of the competition were announced: Alice was the winner. The next day, Alice saw Emma and said ""I'm sorry about your story."" ""What do you mean?"" said Emma. ""Oh nothing,"" said Alice.",What did they say that they should not have said? Answer with a quote only without explanations.,I'm sorry about your story.
Baron-Cohen et al. (1999),Experts,FauxPas,1f,3,"All of the class took part in a story competition. Emma really wanted to win. Whilst she was away from school, the results of the competition were announced: Alice was the winner. The next day, Alice saw Emma and said ""I'm sorry about your story."" ""What do you mean?"" said Emma. ""Oh nothing,"" said Alice.","Who won the story competition? Answer the question only, without explanations.",Alice
Baron-Cohen et al. (1999),Experts,FauxPas,1f,4,"All of the class took part in a story competition. Emma really wanted to win. Whilst she was away from school, the results of the competition were announced: Alice was the winner. The next day, Alice saw Emma and said ""I'm sorry about your story."" ""What do you mean?"" said Emma. ""Oh nothing,"" said Alice.","Did Alice realize that Emma hadn't heard the results of the competition? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,1c,1,"All of the class took part in a poetry competition. Jane really wanted to win. While she was away, the results of the competition were announced: Mary was the winner. The next day, Jane bumped into Mary. Mary said ""How are you feeling?"". ""Fine thanks?"" said Jane, ""Oh good"" said Mary.","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,1c,2,"All of the class took part in a poetry competition. Jane really wanted to win. While she was away, the results of the competition were announced: Mary was the winner. The next day, Jane bumped into Mary. Mary said ""How are you feeling?"". ""Fine thanks?"" said Jane, ""Oh good"" said Mary.",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Baron-Cohen et al. (1999),Experts,Control,1c,3,"All of the class took part in a poetry competition. Jane really wanted to win. While she was away, the results of the competition were announced: Mary was the winner. The next day, Jane bumped into Mary. Mary said ""How are you feeling?"". ""Fine thanks?"" said Jane, ""Oh good"" said Mary.","Who won the story competition? Answer the question only, without explanations.",Mary
Baron-Cohen et al. (1999),Experts,Control,1c,4,"All of the class took part in a poetry competition. Jane really wanted to win. While she was away, the results of the competition were announced: Mary was the winner. The next day, Jane bumped into Mary. Mary said ""How are you feeling?"". ""Fine thanks?"" said Jane, ""Oh good"" said Mary.","Did Mary know that Jane hadn't heard the results of the competition? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,FauxPas,2f,1,"Robert had just started at a new school. He said to his new friend, Andrew, ""My Mum is a dinner lady at this school."" Then Claire came over and said, ""I hate dinner ladies. They're horrible."" ""Do you want to come and play rounders?"" Andrew asked Claire. ""No"" she replied ""I'm not feeling very well."" ","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Baron-Cohen et al. (1999),Experts,FauxPas,2f,2,"Robert had just started at a new school. He said to his new friend, Andrew, ""My Mum is a dinner lady at this school."" Then Claire came over and said, ""I hate dinner ladies. They're horrible."" ""Do you want to come and play rounders?"" Andrew asked Claire. ""No"" she replied ""I'm not feeling very well."" ",What did they say that they should not have said? Answer with a quote only without explanations.,"""I hate dinner ladies. They're horrible."""
Baron-Cohen et al. (1999),Experts,FauxPas,2f,3,"Robert had just started at a new school. He said to his new friend, Andrew, ""My Mum is a dinner lady at this school."" Then Claire came over and said, ""I hate dinner ladies. They're horrible."" ""Do you want to come and play rounders?"" Andrew asked Claire. ""No"" she replied ""I'm not feeling very well."" ","What job does Robert's Mum do? Answer the question only, without explanations.",Robert's Mum is a dinner lady.
Baron-Cohen et al. (1999),Experts,FauxPas,2f,4,"Robert had just started at a new school. He said to his new friend, Andrew, ""My Mum is a dinner lady at this school."" Then Claire came over and said, ""I hate dinner ladies. They're horrible."" ""Do you want to come and play rounders?"" Andrew asked Claire. ""No"" she replied ""I'm not feeling very well."" ","Did Clare know that Robert's Mum was a dinner lady? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,2c,1,"David had just started at a new school. He said to his new friend, Mike, ""My Mum is a teacher in this school."" Then Jeff came over. ""I hate school"" he told them, ""It's so small."" ""Do you want to come and play rounders?"" Mike asked Jeff. ""No"" he replied ""I'm not feeling very well.""","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,2c,2,"David had just started at a new school. He said to his new friend, Mike, ""My Mum is a teacher in this school."" Then Jeff came over. ""I hate school"" he told them, ""It's so small."" ""Do you want to come and play rounders?"" Mike asked Jeff. ""No"" he replied ""I'm not feeling very well.""",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Baron-Cohen et al. (1999),Experts,Control,2c,3,"David had just started at a new school. He said to his new friend, Mike, ""My Mum is a teacher in this school."" Then Jeff came over. ""I hate school"" he told them, ""It's so small."" ""Do you want to come and play rounders?"" Mike asked Jeff. ""No"" he replied ""I'm not feeling very well.""","What job does David's Mum do? Answer the question only, without explanations.",David's Mum is a teacher in the school where David attends.
Baron-Cohen et al. (1999),Experts,Control,2c,4,"David had just started at a new school. He said to his new friend, Mike, ""My Mum is a teacher in this school."" Then Jeff came over. ""I hate school"" he told them, ""It's so small."" ""Do you want to come and play rounders?"" Mike asked Jeff. ""No"" he replied ""I'm not feeling very well.""","Did Jeff know that David's Mum was a teacher? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,FauxPas,3f,1,"Mike was in one of the cubicles in the toilets at school. Joe and Peter were at the sinks nearby. Joe said ""You know that new boy in the class, his name is Mike. Doesn't he look really weird!"" Mike then came out of the cubicles. Peter said ""Oh hello Mike, are you going to play football now?"".","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Baron-Cohen et al. (1999),Experts,FauxPas,3f,2,"Mike was in one of the cubicles in the toilets at school. Joe and Peter were at the sinks nearby. Joe said ""You know that new boy in the class, his name is Mike. Doesn't he look really weird!"" Mike then came out of the cubicles. Peter said ""Oh hello Mike, are you going to play football now?"".",What did they say that they should not have said? Answer with a quote only without explanations.,"""You know that new boy in the class, his name is Mike. Doesn't he look really weird!"""
Baron-Cohen et al. (1999),Experts,FauxPas,3f,3,"Mike was in one of the cubicles in the toilets at school. Joe and Peter were at the sinks nearby. Joe said ""You know that new boy in the class, his name is Mike. Doesn't he look really weird!"" Mike then came out of the cubicles. Peter said ""Oh hello Mike, are you going to play football now?"".","Where were Joe and Peter when they were talking? Answer the question only, without explanations.",Joe and Peter were at the sinks nearby.
Baron-Cohen et al. (1999),Experts,FauxPas,3f,4,"Mike was in one of the cubicles in the toilets at school. Joe and Peter were at the sinks nearby. Joe said ""You know that new boy in the class, his name is Mike. Doesn't he look really weird!"" Mike then came out of the cubicles. Peter said ""Oh hello Mike, are you going to play football now?"".","Did Joe Know that Mike was in the cubicles ? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,3c,1,"John was in one of the cubicles in the toilets at school. Sam and Eddy were at the sinks nearby. Sam said ""You know that new boy in the class - you know, his name is John. Doesn't he look cool!"" John then came out of the cubicles. Peter said ""Oh, hi John. Are you going to play football now?""","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,3c,2,"John was in one of the cubicles in the toilets at school. Sam and Eddy were at the sinks nearby. Sam said ""You know that new boy in the class - you know, his name is John. Doesn't he look cool!"" John then came out of the cubicles. Peter said ""Oh, hi John. Are you going to play football now?""",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Baron-Cohen et al. (1999),Experts,Control,3c,3,"John was in one of the cubicles in the toilets at school. Sam and Eddy were at the sinks nearby. Sam said ""You know that new boy in the class - you know, his name is John. Doesn't he look cool!"" John then came out of the cubicles. Peter said ""Oh, hi John. Are you going to play football now?""","Where were Sam and Eddy when they were talking? Answer the question only, without explanations.",Sam and Eddy were at the sinks nearby in the toilets at school when they were talking.
Baron-Cohen et al. (1999),Experts,Control,3c,4,"John was in one of the cubicles in the toilets at school. Sam and Eddy were at the sinks nearby. Sam said ""You know that new boy in the class - you know, his name is John. Doesn't he look cool!"" John then came out of the cubicles. Peter said ""Oh, hi John. Are you going to play football now?""","Did Sam know that John was in the cubicles? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,FauxPas,4f,1,"Kim helped her Mum make an apple pie for her uncle when he came to visit. She carried it out of the kitchen. ""I made it just for you,"" said Kim. ""Mmm"", replied Uncle Tom, ""That looks lovely. I love pies, except for apple, of course!""","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Baron-Cohen et al. (1999),Experts,FauxPas,4f,2,"Kim helped her Mum make an apple pie for her uncle when he came to visit. She carried it out of the kitchen. ""I made it just for you,"" said Kim. ""Mmm"", replied Uncle Tom, ""That looks lovely. I love pies, except for apple, of course!""",What did they say that they should not have said? Answer with a quote only without explanations.,"""I love pies, except for apple, of course!"""
Baron-Cohen et al. (1999),Experts,FauxPas,4f,3,"Kim helped her Mum make an apple pie for her uncle when he came to visit. She carried it out of the kitchen. ""I made it just for you,"" said Kim. ""Mmm"", replied Uncle Tom, ""That looks lovely. I love pies, except for apple, of course!""","What kind of pie had Kim made ? Answer the question only, without explanations.",Kim made an apple pie.
Baron-Cohen et al. (1999),Experts,FauxPas,4f,4,"Kim helped her Mum make an apple pie for her uncle when he came to visit. She carried it out of the kitchen. ""I made it just for you,"" said Kim. ""Mmm"", replied Uncle Tom, ""That looks lovely. I love pies, except for apple, of course!""","Did Uncle Tom know that the pie was an apple pie ? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,4c,1,"Kate helped her Mum make a fruit pie for her neighbor when he came to visit. She carried it out of the kitchen. ""I made it just for you,"" said Kate. ""Mmm"", replied her neighbor, ""That looks lovely - I love pies, especially fruit ones!""","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,4c,2,"Kate helped her Mum make a fruit pie for her neighbor when he came to visit. She carried it out of the kitchen. ""I made it just for you,"" said Kate. ""Mmm"", replied her neighbor, ""That looks lovely - I love pies, especially fruit ones!""",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Baron-Cohen et al. (1999),Experts,Control,4c,3,"Kate helped her Mum make a fruit pie for her neighbor when he came to visit. She carried it out of the kitchen. ""I made it just for you,"" said Kate. ""Mmm"", replied her neighbor, ""That looks lovely - I love pies, especially fruit ones!""","What kind of pie had Kate made? Answer the question only, without explanations.",Kate made a fruit pie for her neighbor.
Baron-Cohen et al. (1999),Experts,Control,4c,4,"Kate helped her Mum make a fruit pie for her neighbor when he came to visit. She carried it out of the kitchen. ""I made it just for you,"" said Kate. ""Mmm"", replied her neighbor, ""That looks lovely - I love pies, especially fruit ones!""","Did the neighbor know that the pie was a fruit pie? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Baron-Cohen et al. (1999),Experts,FauxPas,5f,1,"James bought Richard a toy airplane for his birthday. A few months later, they were playing with it, and James accidentally dropped it. ""Don't worry"" said Richard, ""I never liked it anyway. Someone gave it to me for my birthday."" ","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Baron-Cohen et al. (1999),Experts,FauxPas,5f,2,"James bought Richard a toy airplane for his birthday. A few months later, they were playing with it, and James accidentally dropped it. ""Don't worry"" said Richard, ""I never liked it anyway. Someone gave it to me for my birthday."" ",What did they say that they should not have said? Answer with a quote only without explanations.,"""I never liked it anyway. Someone gave it to me for my birthday."""
Baron-Cohen et al. (1999),Experts,FauxPas,5f,3,"James bought Richard a toy airplane for his birthday. A few months later, they were playing with it, and James accidentally dropped it. ""Don't worry"" said Richard, ""I never liked it anyway. Someone gave it to me for my birthday."" ","What did James give Richard for his birthday? Answer the question only, without explanations.",James gave Richard a toy airplane for his birthday.
Baron-Cohen et al. (1999),Experts,FauxPas,5f,4,"James bought Richard a toy airplane for his birthday. A few months later, they were playing with it, and James accidentally dropped it. ""Don't worry"" said Richard, ""I never liked it anyway. Someone gave it to me for my birthday."" ","Did Richard remember James had given him the toy airplane for his birthday? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,5c,1,"Simon bought Robert a toy car for his birthday. A few months later, they were playing with it, and Simon dropped it. ""Don't worry,"" said Robert, ""it was only an accident"". ","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,5c,2,"Simon bought Robert a toy car for his birthday. A few months later, they were playing with it, and Simon dropped it. ""Don't worry,"" said Robert, ""it was only an accident"". ",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Baron-Cohen et al. (1999),Experts,Control,5c,3,"Simon bought Robert a toy car for his birthday. A few months later, they were playing with it, and Simon dropped it. ""Don't worry,"" said Robert, ""it was only an accident"". ","What did Simon give Robert for his birthday? Answer the question only, without explanations.",Simon gave Robert a toy car for his birthday.
Baron-Cohen et al. (1999),Experts,Control,5c,4,"Simon bought Robert a toy car for his birthday. A few months later, they were playing with it, and Simon dropped it. ""Don't worry,"" said Robert, ""it was only an accident"". ","Did Simon know Robert had given him the toy car for his birthday? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Baron-Cohen et al. (1999),Experts,FauxPas,6f,1,"Sally has short blonde hair. She was at her Aunt Carol's house. The doorbell rang. It was Mary, a neighbor. Mary said ""Hello,"" then looked at Sally and said ""Oh, I don't think I've met this little boy. What's your name?"" Aunt Carol said ""Who'd like a cup of tea?.""","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Baron-Cohen et al. (1999),Experts,FauxPas,6f,2,"Sally has short blonde hair. She was at her Aunt Carol's house. The doorbell rang. It was Mary, a neighbor. Mary said ""Hello,"" then looked at Sally and said ""Oh, I don't think I've met this little boy. What's your name?"" Aunt Carol said ""Who'd like a cup of tea?.""",What did they say that they should not have said? Answer with a quote only without explanations.,"""Oh, I don't think I've met this little boy. What's your name?"""
Baron-Cohen et al. (1999),Experts,FauxPas,6f,3,"Sally has short blonde hair. She was at her Aunt Carol's house. The doorbell rang. It was Mary, a neighbor. Mary said ""Hello,"" then looked at Sally and said ""Oh, I don't think I've met this little boy. What's your name?"" Aunt Carol said ""Who'd like a cup of tea?.""","Whose house was Sally at? Answer the question only, without explanations.",Sally was at her Aunt Carol's house.
Baron-Cohen et al. (1999),Experts,FauxPas,6f,4,"Sally has short blonde hair. She was at her Aunt Carol's house. The doorbell rang. It was Mary, a neighbor. Mary said ""Hello,"" then looked at Sally and said ""Oh, I don't think I've met this little boy. What's your name?"" Aunt Carol said ""Who'd like a cup of tea?.""","Did Mary know that Sally was a little girl? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,6c,1,"Jill has short brown hair. She was at her Uncle Ted's house. The doorbell rang. It was Mrs. Smith, a neighbor. Mrs. Smith said ""Hello,"" then looked at Jill and said ""Oh, I don't think I've met this little girl. What's your name?"" Uncle Ted said ""Who'd like some tea?"".","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,6c,2,"Jill has short brown hair. She was at her Uncle Ted's house. The doorbell rang. It was Mrs. Smith, a neighbor. Mrs. Smith said ""Hello,"" then looked at Jill and said ""Oh, I don't think I've met this little girl. What's your name?"" Uncle Ted said ""Who'd like some tea?"".",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Baron-Cohen et al. (1999),Experts,Control,6c,3,"Jill has short brown hair. She was at her Uncle Ted's house. The doorbell rang. It was Mrs. Smith, a neighbor. Mrs. Smith said ""Hello,"" then looked at Jill and said ""Oh, I don't think I've met this little girl. What's your name?"" Uncle Ted said ""Who'd like some tea?"".","Whose house was Jill at? Answer the question only, without explanations.",Jill was at Uncle Ted's house.
Baron-Cohen et al. (1999),Experts,Control,6c,4,"Jill has short brown hair. She was at her Uncle Ted's house. The doorbell rang. It was Mrs. Smith, a neighbor. Mrs. Smith said ""Hello,"" then looked at Jill and said ""Oh, I don't think I've met this little girl. What's your name?"" Uncle Ted said ""Who'd like some tea?"".","Did Mrs. Smith know that Jill was a little girl? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Baron-Cohen et al. (1999),Experts,FauxPas,7f,1,"Mrs. West, the teacher, had something to tell her class, ""One of the boys in our class, Simon, is very seriously ill"" she said. The class were all very sad and were sitting quietly when a little girl, Becky, arrived late. ""Have you heard my new joke about sick people?"" she asked. The teacher said to her ""Sit down and get on with your work.""","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Baron-Cohen et al. (1999),Experts,FauxPas,7f,2,"Mrs. West, the teacher, had something to tell her class, ""One of the boys in our class, Simon, is very seriously ill"" she said. The class were all very sad and were sitting quietly when a little girl, Becky, arrived late. ""Have you heard my new joke about sick people?"" she asked. The teacher said to her ""Sit down and get on with your work.""",What did they say that they should not have said? Answer with a quote only without explanations.,"""Have you heard my new joke about sick people?"""
Baron-Cohen et al. (1999),Experts,FauxPas,7f,3,"Mrs. West, the teacher, had something to tell her class, ""One of the boys in our class, Simon, is very seriously ill"" she said. The class were all very sad and were sitting quietly when a little girl, Becky, arrived late. ""Have you heard my new joke about sick people?"" she asked. The teacher said to her ""Sit down and get on with your work.""","What did the teacher tell the class at the beginning of the story? Answer the question only, without explanations.","""One of the boys in our class, Simon, is very seriously ill."""
Baron-Cohen et al. (1999),Experts,FauxPas,7f,4,"Mrs. West, the teacher, had something to tell her class, ""One of the boys in our class, Simon, is very seriously ill"" she said. The class were all very sad and were sitting quietly when a little girl, Becky, arrived late. ""Have you heard my new joke about sick people?"" she asked. The teacher said to her ""Sit down and get on with your work.""","Did Becky know Simon was sick? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,7c,1,"Mrs. Jones, the teacher, had something to tell her class, ""You all know George in our class, well, he is very seriously ill"" she said. The class were all very sad and were sitting quietly when a little girl, Amy, arrived late. ""I've just been to the dentist"" she said. The teacher said to her ""Sit down and get on with your work.""","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,7c,2,"Mrs. Jones, the teacher, had something to tell her class, ""You all know George in our class, well, he is very seriously ill"" she said. The class were all very sad and were sitting quietly when a little girl, Amy, arrived late. ""I've just been to the dentist"" she said. The teacher said to her ""Sit down and get on with your work.""",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Baron-Cohen et al. (1999),Experts,Control,7c,3,"Mrs. Jones, the teacher, had something to tell her class, ""You all know George in our class, well, he is very seriously ill"" she said. The class were all very sad and were sitting quietly when a little girl, Amy, arrived late. ""I've just been to the dentist"" she said. The teacher said to her ""Sit down and get on with your work.""","What did the teacher tell the class at the beginning of the story? Answer the question only, without explanations.",The teacher told the class that George in their class was very seriously ill.
Baron-Cohen et al. (1999),Experts,Control,7c,4,"Mrs. Jones, the teacher, had something to tell her class, ""You all know George in our class, well, he is very seriously ill"" she said. The class were all very sad and were sitting quietly when a little girl, Amy, arrived late. ""I've just been to the dentist"" she said. The teacher said to her ""Sit down and get on with your work.""","Did Amy know George was sick? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,FauxPas,8f,1,"Tim was in a restaurant. He spilt his coffee on the floor by accident. Jack was another person in the restaurant, standing by the cash desk waiting to pay. Tim went up to Jack and said ""I'm terribly sorry, but I've spilt my coffee. Would you be able to mop it up?"".","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Baron-Cohen et al. (1999),Experts,FauxPas,8f,2,"Tim was in a restaurant. He spilt his coffee on the floor by accident. Jack was another person in the restaurant, standing by the cash desk waiting to pay. Tim went up to Jack and said ""I'm terribly sorry, but I've spilt my coffee. Would you be able to mop it up?"".",What did they say that they should not have said? Answer with a quote only without explanations.,"I'm terribly sorry, but I've spilt my coffee. Would you be able to mop it up?"
Baron-Cohen et al. (1999),Experts,FauxPas,8f,3,"Tim was in a restaurant. He spilt his coffee on the floor by accident. Jack was another person in the restaurant, standing by the cash desk waiting to pay. Tim went up to Jack and said ""I'm terribly sorry, but I've spilt my coffee. Would you be able to mop it up?"".","Where did the story take place ? Answer the question only, without explanations.",The story took place in a restaurant.
Baron-Cohen et al. (1999),Experts,FauxPas,8f,4,"Tim was in a restaurant. He spilt his coffee on the floor by accident. Jack was another person in the restaurant, standing by the cash desk waiting to pay. Tim went up to Jack and said ""I'm terribly sorry, but I've spilt my coffee. Would you be able to mop it up?"".","Did Tim know Jack was a customer? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,8c,1,"Alan and Ed were having a drink in a restaurant. Alan spilt his coke on the floor by accident. He said to Edward ""Oh dear, haven't I been clumsy - I've spilt my coke!"" Edward said ""I'll order another one.""","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Baron-Cohen et al. (1999),Experts,Control,8c,2,"Alan and Ed were having a drink in a restaurant. Alan spilt his coke on the floor by accident. He said to Edward ""Oh dear, haven't I been clumsy - I've spilt my coke!"" Edward said ""I'll order another one.""",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Baron-Cohen et al. (1999),Experts,Control,8c,3,"Alan and Ed were having a drink in a restaurant. Alan spilt his coke on the floor by accident. He said to Edward ""Oh dear, haven't I been clumsy - I've spilt my coke!"" Edward said ""I'll order another one.""","Where did the story take place? Answer the question only, without explanations.",The story took place in a restaurant.
Baron-Cohen et al. (1999),Experts,Control,8c,4,"Alan and Ed were having a drink in a restaurant. Alan spilt his coke on the floor by accident. He said to Edward ""Oh dear, haven't I been clumsy - I've spilt my coke!"" Edward said ""I'll order another one.""","Did Alan know Ed was a customer? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
