Source,created by,Type,Story ID,Question ID,Story,Question,Answer
Shapira et al. (2023),Experts,Control,15c,2,"Melanie just got engaged and when she came to the office this morning she showed all her friends in the office a picture of her new fiancé Larry. ""Congratulations!"" said Jack	 ""I'm so happy for you"" added Linda. Rachel comes to the office an hour later sees Melanie’s picture and says: ""Hey how do you know Larry? He is a friend of mine""",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Shapira et al. (2023),Experts,Control,15c,3,"Melanie just got engaged and when she came to the office this morning she showed all her friends in the office a picture of her new fiancé Larry. ""Congratulations!"" said Jack	 ""I'm so happy for you"" added Linda. Rachel comes to the office an hour later sees Melanie’s picture and says: ""Hey how do you know Larry? He is a friend of mine""",Who is Melanie's fiancé? Answer the question only without explanations.,Larry
Shapira et al. (2023),Experts,Control,15c,4,"Melanie just got engaged and when she came to the office this morning she showed all her friends in the office a picture of her new fiancé Larry. ""Congratulations!"" said Jack	 ""I'm so happy for you"" added Linda. Rachel comes to the office an hour later sees Melanie’s picture and says: ""Hey how do you know Larry? He is a friend of mine""","Did Rachel know Melanie got engaged to Larry? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),Experts,FauxPas,16f,1,"Annie just left the hospital, she was eight months pregnant and learned that the fetus had no pulse. She returns home by bus and meets Jessica on the way. Jessica said ""Annie! I haven't seen you in so long"" Annie weakly replied ""Yes..."". Jessica added ""Congratulations!"". Annie mumbled something and got on the bus.","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Shapira et al. (2023),Experts,FauxPas,16f,2,"Annie just left the hospital, she was eight months pregnant and learned that the fetus had no pulse. She returns home by bus and meets Jessica on the way. Jessica said ""Annie! I haven't seen you in so long"" Annie weakly replied ""Yes..."". Jessica added ""Congratulations!"". Annie mumbled something and got on the bus.",What did they say that they should not have said? Answer with a quote only without explanations.,"""Congratulations!"""
Shapira et al. (2023),Experts,FauxPas,16f,3,"Annie just left the hospital, she was eight months pregnant and learned that the fetus had no pulse. She returns home by bus and meets Jessica on the way. Jessica said ""Annie! I haven't seen you in so long"" Annie weakly replied ""Yes..."". Jessica added ""Congratulations!"". Annie mumbled something and got on the bus.",What did Annie just learned? Answer the question only without explanations.,The fetus had no pulse
Shapira et al. (2023),Experts,FauxPas,16f,4,"Annie just left the hospital, she was eight months pregnant and learned that the fetus had no pulse. She returns home by bus and meets Jessica on the way. Jessica said ""Annie! I haven't seen you in so long"" Annie weakly replied ""Yes..."". Jessica added ""Congratulations!"". Annie mumbled something and got on the bus.","Did Jessica know that Annie's fetus had no pulse? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),Experts,Control,16c,1,"Annie just left the doctor office for a regular check, she was eight months pregnant. She returns home by bus and meets Jessica on the way. Jessica said ""Annie! I haven't seen you in so long"" Annie weakly replied ""Yes..."". Jessica added ""Congratulations!"". Annie said ""thank you"" and got on the bus.","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Shapira et al. (2023),Experts,Control,16c,2,"Annie just left the doctor office for a regular check, she was eight months pregnant. She returns home by bus and meets Jessica on the way. Jessica said ""Annie! I haven't seen you in so long"" Annie weakly replied ""Yes..."". Jessica added ""Congratulations!"". Annie said ""thank you"" and got on the bus.",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Shapira et al. (2023),Experts,Control,16c,3,"Annie just left the doctor office for a regular check, she was eight months pregnant. She returns home by bus and meets Jessica on the way. Jessica said ""Annie! I haven't seen you in so long"" Annie weakly replied ""Yes..."". Jessica added ""Congratulations!"". Annie said ""thank you"" and got on the bus.",How many months id Annie's pregnant? Answer the question only without explanations.,Eight
Shapira et al. (2023),Experts,Control,16c,4,"Annie just left the doctor office for a regular check, she was eight months pregnant. She returns home by bus and meets Jessica on the way. Jessica said ""Annie! I haven't seen you in so long"" Annie weakly replied ""Yes..."". Jessica added ""Congratulations!"". Annie said ""thank you"" and got on the bus.","Did Jessica know that Annie is pregnant? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",Yes
Shapira et al. (2023),AI+Experts,FauxPas,17f,1,"Diana hesitated whether to come to the party because she was emotionally overwhelmed by her mother's death, but finally decided to go and hoped she will be able to have fun. At the party Emily was catching up with her old friend Diana she hadn't seen in years. ""How are you? I haven't seen you in ages."" said Emily ""Fine thanks what about you?"" answered Diana, ""I'm fine too"" said Emily and continued: ""and how's your mom?""","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Shapira et al. (2023),AI+Experts,FauxPas,17f,2,"Diana hesitated whether to come to the party because she was emotionally overwhelmed by her mother's death, but finally decided to go and hoped she will be able to have fun. At the party Emily was catching up with her old friend Diana she hadn't seen in years. ""How are you? I haven't seen you in ages."" said Emily ""Fine thanks what about you?"" answered Diana, ""I'm fine too"" said Emily and continued: ""and how's your mom?""",What did they say that they should not have said? Answer with a quote only without explanations.,"""and how's your mom?"""
Shapira et al. (2023),AI+Experts,FauxPas,17f,3,"Diana hesitated whether to come to the party because she was emotionally overwhelmed by her mother's death, but finally decided to go and hoped she will be able to have fun. At the party Emily was catching up with her old friend Diana she hadn't seen in years. ""How are you? I haven't seen you in ages."" said Emily ""Fine thanks what about you?"" answered Diana, ""I'm fine too"" said Emily and continued: ""and how's your mom?""",Whose mother passed away? Answer the question only without explanations.,Diana
Shapira et al. (2023),AI+Experts,FauxPas,17f,4,"Diana hesitated whether to come to the party because she was emotionally overwhelmed by her mother's death, but finally decided to go and hoped she will be able to have fun. At the party Emily was catching up with her old friend Diana she hadn't seen in years. ""How are you? I haven't seen you in ages."" said Emily ""Fine thanks what about you?"" answered Diana, ""I'm fine too"" said Emily and continued: ""and how's your mom?""","Did Emily know that Diana's mother passed away? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),AI+Experts,Control,17c,1,"Diana hesitated whether to come to the party because she didn't like her dress, but finally decided to go and hoped she will have fun. At the party Emily was catching up with her old friend Diana she hadn't seen in years. ""How are you? I haven't seen you in ages."" said Emily ""Fine thanks what about you?"" answered Diana, ""I'm fine too"" said Emily and continued: ""and how's your mom?""","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Shapira et al. (2023),AI+Experts,Control,17c,2,"Diana hesitated whether to come to the party because she didn't like her dress, but finally decided to go and hoped she will have fun. At the party Emily was catching up with her old friend Diana she hadn't seen in years. ""How are you? I haven't seen you in ages."" said Emily ""Fine thanks what about you?"" answered Diana, ""I'm fine too"" said Emily and continued: ""and how's your mom?""",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Shapira et al. (2023),AI+Experts,Control,17c,3,"Diana hesitated whether to come to the party because she didn't like her dress, but finally decided to go and hoped she will have fun. At the party Emily was catching up with her old friend Diana she hadn't seen in years. ""How are you? I haven't seen you in ages."" said Emily ""Fine thanks what about you?"" answered Diana, ""I'm fine too"" said Emily and continued: ""and how's your mom?""",Where did Diana and Emily meet? Answer the question only without explanations. ,At the party
Shapira et al. (2023),AI+Experts,Control,17c,4,"Diana hesitated whether to come to the party because she didn't like her dress, but finally decided to go and hoped she will have fun. At the party Emily was catching up with her old friend Diana she hadn't seen in years. ""How are you? I haven't seen you in ages."" said Emily ""Fine thanks what about you?"" answered Diana, ""I'm fine too"" said Emily and continued: ""and how's your mom?""","Did Emily know Diana's mother status? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),AI+Experts,FauxPas,18f,1,"At the board meeting, the CEO informed the team that he wanted to share confidential information with them. A moment later Jane entered the room, just as the CEO said: ""The company is going to go bankrupt."" Later that day, when Jane was talking with her colleagues she said, ""I heard the CEO saying that the company is going bankrupt"".","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Shapira et al. (2023),AI+Experts,FauxPas,18f,2,"At the board meeting, the CEO informed the team that he wanted to share confidential information with them. A moment later Jane entered the room, just as the CEO said: ""The company is going to go bankrupt."" Later that day, when Jane was talking with her colleagues she said, ""I heard the CEO saying that the company is going bankrupt"".",What did they say that they should not have said? Answer with a quote only without explanations.,"""I heard the CEO saying that the company is going bankrupt"""
Shapira et al. (2023),AI+Experts,FauxPas,18f,3,"At the board meeting, the CEO informed the team that he wanted to share confidential information with them. A moment later Jane entered the room, just as the CEO said: ""The company is going to go bankrupt."" Later that day, when Jane was talking with her colleagues she said, ""I heard the CEO saying that the company is going bankrupt"".",What did the CEO said? Answer the question only without explanations.,"""The company is going to go bankrupt."""
Shapira et al. (2023),AI+Experts,FauxPas,18f,4,"At the board meeting, the CEO informed the team that he wanted to share confidential information with them. A moment later Jane entered the room, just as the CEO said: ""The company is going to go bankrupt."" Later that day, when Jane was talking with her colleagues she said, ""I heard the CEO saying that the company is going bankrupt"".","Did Jane know that the information that the CEO shared was confidential ? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),AI+Experts,Control,18c,1,"At the board meeting the CEO informed the team that he wanted to share information with them just then Jane entered the room late as the CEO said: ""The company is going to go bankrupt."" Later that day Jane was discussing with her colleagues she said ""I heard the CEO saying that the company is going bankrupt"".","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Shapira et al. (2023),AI+Experts,Control,18c,2,"At the board meeting the CEO informed the team that he wanted to share information with them just then Jane entered the room late as the CEO said: ""The company is going to go bankrupt."" Later that day Jane was discussing with her colleagues she said ""I heard the CEO saying that the company is going bankrupt"".",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Shapira et al. (2023),AI+Experts,Control,18c,3,"At the board meeting the CEO informed the team that he wanted to share information with them just then Jane entered the room late as the CEO said: ""The company is going to go bankrupt."" Later that day Jane was discussing with her colleagues she said ""I heard the CEO saying that the company is going bankrupt"".",Where did the CEO informed about the bankrupt? Answer the question only without explanations.,At the board meeting
Shapira et al. (2023),AI+Experts,Control,18c,4,"At the board meeting the CEO informed the team that he wanted to share information with them just then Jane entered the room late as the CEO said: ""The company is going to go bankrupt."" Later that day Jane was discussing with her colleagues she said ""I heard the CEO saying that the company is going bankrupt"".","Did Jane know that the company is going to go bankrupt? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",Yes
Shapira et al. (2023),AI+Experts,FauxPas,19f,1,"At a dinner party Ruth arrived alone and asked the hostess ""Are there people I know here?"" Suddenly she saw Claire. She got closer and heard Claire telling a story about the trip they took together. Claire mentioned Ruth ""She was the most annoying person I've ever met."" Ruth coughed and said ""Hi Claire"".","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Shapira et al. (2023),AI+Experts,FauxPas,19f,2,"At a dinner party Ruth arrived alone and asked the hostess ""Are there people I know here?"" Suddenly she saw Claire. She got closer and heard Claire telling a story about the trip they took together. Claire mentioned Ruth ""She was the most annoying person I've ever met."" Ruth coughed and said ""Hi Claire"".",What did they say that they should not have said? Answer with a quote only without explanations.,"""She was the most annoying person I've ever met."""
Shapira et al. (2023),AI+Experts,FauxPas,19f,3,"At a dinner party Ruth arrived alone and asked the hostess ""Are there people I know here?"" Suddenly she saw Claire. She got closer and heard Claire telling a story about the trip they took together. Claire mentioned Ruth ""She was the most annoying person I've ever met."" Ruth coughed and said ""Hi Claire"".",Where did the story take place? Answer the question only without explanations.,At a dinner party
Shapira et al. (2023),AI+Experts,FauxPas,19f,4,"At a dinner party Ruth arrived alone and asked the hostess ""Are there people I know here?"" Suddenly she saw Claire. She got closer and heard Claire telling a story about the trip they took together. Claire mentioned Ruth ""She was the most annoying person I've ever met."" Ruth coughed and said ""Hi Claire"".","Did Claire know that Ruth at the party? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),AI+Experts,Control,19c,1,"At a dinner party Ruth arrived alone and asked the hostess ""Are there people I know here?"" Suddenly she saw Claire. She got closer and heard Claire telling a story about the trip they took together. Claire mentioned Ruth ""She was very helpful."" Ruth coughed and said ""Hi Claire"".","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Shapira et al. (2023),AI+Experts,Control,19c,2,"At a dinner party Ruth arrived alone and asked the hostess ""Are there people I know here?"" Suddenly she saw Claire. She got closer and heard Claire telling a story about the trip they took together. Claire mentioned Ruth ""She was very helpful."" Ruth coughed and said ""Hi Claire"".",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Shapira et al. (2023),AI+Experts,Control,19c,3,"At a dinner party Ruth arrived alone and asked the hostess ""Are there people I know here?"" Suddenly she saw Claire. She got closer and heard Claire telling a story about the trip they took together. Claire mentioned Ruth ""She was very helpful."" Ruth coughed and said ""Hi Claire"".",Where did the story take place ? Answer the question only without explanations.,At a dinner party
Shapira et al. (2023),AI+Experts,Control,19c,4,"At a dinner party Ruth arrived alone and asked the hostess ""Are there people I know here?"" Suddenly she saw Claire. She got closer and heard Claire telling a story about the trip they took together. Claire mentioned Ruth ""She was very helpful."" Ruth coughed and said ""Hi Claire"".","Did Claire know that Ruth at the party? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),AI+Experts,FauxPas,20f,1,"Larry helped John find a job, using his personal connections. After several years Larry and John met again. John said: ""Hey Larry! How are you?"" and Larry responded - ""Good thanks and how about you? How's it going?"" And John replied: ""I hate my job. Too bad I started working there at all"".","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Shapira et al. (2023),AI+Experts,FauxPas,20f,2,"Larry helped John find a job, using his personal connections. After several years Larry and John met again. John said: ""Hey Larry! How are you?"" and Larry responded - ""Good thanks and how about you? How's it going?"" And John replied: ""I hate my job. Too bad I started working there at all"".",What did they say that they should not have said? Answer with a quote only without explanations.,"""I hate my job. Too bad I started working there at all"""
Shapira et al. (2023),AI+Experts,FauxPas,20f,3,"Larry helped John find a job, using his personal connections. After several years Larry and John met again. John said: ""Hey Larry! How are you?"" and Larry responded - ""Good thanks and how about you? How's it going?"" And John replied: ""I hate my job. Too bad I started working there at all"".",Who helped John find a job? Answer the question only without explanations.,Larry
Shapira et al. (2023),AI+Experts,FauxPas,20f,4,"Larry helped John find a job, using his personal connections. After several years Larry and John met again. John said: ""Hey Larry! How are you?"" and Larry responded - ""Good thanks and how about you? How's it going?"" And John replied: ""I hate my job. Too bad I started working there at all"".","Did John remember that Larry helped him find a job Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),AI+Experts,Control,20c,1,"Larry helped John find a job. After several years Larry and John met again. John said: ""Hey Larry! How are you?"" and Larry responded - ""Good thanks and how about you? How's it going?"" And John answered: ""Working hard but satisfied.""","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Shapira et al. (2023),AI+Experts,Control,20c,2,"Larry helped John find a job. After several years Larry and John met again. John said: ""Hey Larry! How are you?"" and Larry responded - ""Good thanks and how about you? How's it going?"" And John answered: ""Working hard but satisfied.""",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Shapira et al. (2023),AI+Experts,Control,20c,3,"Larry helped John find a job. After several years Larry and John met again. John said: ""Hey Larry! How are you?"" and Larry responded - ""Good thanks and how about you? How's it going?"" And John answered: ""Working hard but satisfied.""",Who helped John find a job? Answer the question only without explanations.,Larry
Shapira et al. (2023),AI+Experts,Control,20c,4,"Larry helped John find a job. After several years Larry and John met again. John said: ""Hey Larry! How are you?"" and Larry responded - ""Good thanks and how about you? How's it going?"" And John answered: ""Working hard but satisfied.""","Did John remember that Larry helped him find a job Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",Yes
Shapira et al. (2023),AI+Experts,FauxPas,21f,1,"Emily was discussing a proposal with her team. Tim, their boss, was sitting in the next room and heard everything. Mike, one of the members of the team, proposed an idea and added ""it's very expensive but it sounds interesting to me"". Emily said: ""It probably won't work but let's just do it anyway, I’ll tell Tim it’s a good proposal."" ","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Shapira et al. (2023),AI+Experts,FauxPas,21f,2,"Emily was discussing a proposal with her team. Tim, their boss, was sitting in the next room and heard everything. Mike, one of the members of the team, proposed an idea and added ""it's very expensive but it sounds interesting to me"". Emily said: ""It probably won't work but let's just do it anyway, I’ll tell Tim it’s a good proposal."" ",What did they say that they should not have said? Answer with a quote only without explanations.,"""It probably won't work but let's just do it anyway, I’ll tell Tim it’s a good proposal."""
Shapira et al. (2023),AI+Experts,FauxPas,21f,3,"Emily was discussing a proposal with her team. Tim, their boss, was sitting in the next room and heard everything. Mike, one of the members of the team, proposed an idea and added ""it's very expensive but it sounds interesting to me"". Emily said: ""It probably won't work but let's just do it anyway, I’ll tell Tim it’s a good proposal."" ",Where was the boss sitting? Answer the question only without explanations.,In the next room
Shapira et al. (2023),AI+Experts,FauxPas,21f,4,"Emily was discussing a proposal with her team. Tim, their boss, was sitting in the next room and heard everything. Mike, one of the members of the team, proposed an idea and added ""it's very expensive but it sounds interesting to me"". Emily said: ""It probably won't work but let's just do it anyway, I’ll tell Tim it’s a good proposal."" ","Did Emily know that their boss was sitting in the next room and hearing everything? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),AI+Experts,Control,21c,1,"Emily was discussing a proposal with her team. Their boss was sitting in the next room and heard everything. One of the members of the team Mike proposed an idea and added ""It is expensive but it sounds very interesting to me"". Emily said ""I believe this proposal has potential and we should consider it carefully."" Mike added ""Let's share with the management"".","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Shapira et al. (2023),AI+Experts,Control,21c,2,"Emily was discussing a proposal with her team. Their boss was sitting in the next room and heard everything. One of the members of the team Mike proposed an idea and added ""It is expensive but it sounds very interesting to me"". Emily said ""I believe this proposal has potential and we should consider it carefully."" Mike added ""Let's share with the management"".",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Shapira et al. (2023),AI+Experts,Control,21c,3,"Emily was discussing a proposal with her team. Their boss was sitting in the next room and heard everything. One of the members of the team Mike proposed an idea and added ""It is expensive but it sounds very interesting to me"". Emily said ""I believe this proposal has potential and we should consider it carefully."" Mike added ""Let's share with the management"".",Where was the boss sitting? Answer the question only without explanations.,In the next room
Shapira et al. (2023),AI+Experts,Control,21c,4,"Emily was discussing a proposal with her team. Their boss was sitting in the next room and heard everything. One of the members of the team Mike proposed an idea and added ""It is expensive but it sounds very interesting to me"". Emily said ""I believe this proposal has potential and we should consider it carefully."" Mike added ""Let's share with the management"".","Did Mike know that their boss was sitting in the next room and hearing everything? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),AI+Experts,FauxPas,22f,1,"Dima had a newborn baby. He hasn't slept in three days and yet he's back at work. Recently there were organizational changes and Dima got a new manager, Henry. At their first meeting Henry was discussing a project with him. Dima said ""This is a project with a lot of exposure"" and Henry added ""Dima you are going to work on this all nights"". Dima said ""I'll try"".","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",Yes
Shapira et al. (2023),AI+Experts,FauxPas,22f,2,"Dima had a newborn baby. He hasn't slept in three days and yet he's back at work. Recently there were organizational changes and Dima got a new manager, Henry. At their first meeting Henry was discussing a project with him. Dima said ""This is a project with a lot of exposure"" and Henry added ""Dima you are going to work on this all nights"". Dima said ""I'll try"".",What did they say that they should not have said? Answer with a quote only without explanations.,"""Dima you are going to work on this all nights"""
Shapira et al. (2023),AI+Experts,FauxPas,22f,3,"Dima had a newborn baby. He hasn't slept in three days and yet he's back at work. Recently there were organizational changes and Dima got a new manager, Henry. At their first meeting Henry was discussing a project with him. Dima said ""This is a project with a lot of exposure"" and Henry added ""Dima you are going to work on this all nights"". Dima said ""I'll try"".",What event happened to Dima? Answer the question only without explanations.,Dima had a newborn baby.
Shapira et al. (2023),AI+Experts,FauxPas,22f,4,"Dima had a newborn baby. He hasn't slept in three days and yet he's back at work. Recently there were organizational changes and Dima got a new manager, Henry. At their first meeting Henry was discussing a project with him. Dima said ""This is a project with a lot of exposure"" and Henry added ""Dima you are going to work on this all nights"". Dima said ""I'll try"".","Did Henry know Dima had a new born baby? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
Shapira et al. (2023),AI+Experts,Control,22c,1,"Dima had a newborn baby. He hasn't slept in three days and yet he's back at work. Recently there were organizational changes and Dima got a new manager, Henry. At their first meeting Henry was discussing a project with him. Dima said ""This is a project with a lot of exposure"" and Henry added ""We will be working on this project in the next weeks"". Dima said ""I'll try"". Henry added ""Is there anything I should consider?""","In the story did someone say something that they should not have said? Answer with ""Yes"" or ""No"" only, without explanations. In case of doubt, answer according to the most probable answer.",No
Shapira et al. (2023),AI+Experts,Control,22c,2,"Dima had a newborn baby. He hasn't slept in three days and yet he's back at work. Recently there were organizational changes and Dima got a new manager, Henry. At their first meeting Henry was discussing a project with him. Dima said ""This is a project with a lot of exposure"" and Henry added ""We will be working on this project in the next weeks"". Dima said ""I'll try"". Henry added ""Is there anything I should consider?""",What did they say that they should not have said? Answer with a quote only without explanations.,Nothing
Shapira et al. (2023),AI+Experts,Control,22c,3,"Dima had a newborn baby. He hasn't slept in three days and yet he's back at work. Recently there were organizational changes and Dima got a new manager, Henry. At their first meeting Henry was discussing a project with him. Dima said ""This is a project with a lot of exposure"" and Henry added ""We will be working on this project in the next weeks"". Dima said ""I'll try"". Henry added ""Is there anything I should consider?""",What is Dima's manager name? Answer the question only without explanations.,Henry
Shapira et al. (2023),AI+Experts,Control,22c,4,"Dima had a newborn baby. He hasn't slept in three days and yet he's back at work. Recently there were organizational changes and Dima got a new manager, Henry. At their first meeting Henry was discussing a project with him. Dima said ""This is a project with a lot of exposure"" and Henry added ""We will be working on this project in the next weeks"". Dima said ""I'll try"". Henry added ""Is there anything I should consider?""","Did Henry know Dima had a new born baby? Answer with ""Yes"" or ""No"" only without explanations. In case of doubt answer according to the most probable answer.",No
